time,ref_price,bucket_width,buy_wall_price,buy_strength,buy_imbalance,buy_long,buy_short,buy_total,sell_wall_price,sell_strength,sell_imbalance,sell_long,sell_short,sell_total
2025-12-22T00:00:00Z,4355.4,0.5,,,,,,,4336.5,0.0923,-0.0923,0.0,0.0923,0.0923
2025-12-22T00:20:00Z,4362.36,0.5,4353.5,0.1233,0.1233,0.1233,0.0,0.1233,4352.0,0.0925,-0.0925,0.0,0.0925,0.0925
2025-12-22T00:40:00Z,4365.48,0.5,4357.5,0.1232,0.1232,0.1232,0.0,0.1232,4374.5,0.1232,-0.1232,0.0,0.1232,0.1232
2025-12-22T01:00:00Z,4365.165,0.5,4360.0,0.1538,0.1538,0.1538,0.0,0.1538,4374.5,0.123,-0.123,0.0,0.123,0.123
2025-12-22T01:20:00Z,4361.81,0.5,4360.0,0.1543,0.1543,0.1543,0.0,0.1543,4373.5,0.1235,-0.1235,0.0,0.1235,0.1235
2025-12-22T01:40:00Z,4377.51,0.5,4353.0,0.2154,0.2154,0.2154,0.0,0.2154,4399.0,0.1846,-0.1846,0.0,0.1846,0.1846
2025-12-22T02:00:00Z,4382.97,0.5,4372.5,0.1246,0.1246,0.1246,0.0,0.1246,4399.0,0.1869,-0.1869,0.0,0.1869,0.1869
2025-12-22T02:20:00Z,4380.305,0.5,4372.5,0.2474,0.2474,0.2474,0.0,0.2474,4399.0,0.2165,-0.2165,0.0,0.2165,0.2165
2025-12-22T02:40:00Z,4382.205,0.5,4372.5,0.2485,0.2485,0.2485,0.0,0.2485,4399.0,0.1864,-0.1864,0.0,0.1864,0.1864
2025-12-22T03:00:00Z,4386.07,0.5,4375.5,0.1871,0.1871,0.2183,0.0312,0.2495,4399.0,0.1871,-0.1871,0.0,0.1871,0.1871
2025-12-22T03:20:00Z,4389.855,0.5,4380.5,0.3426,0.3426,0.3426,0.0,0.3426,4399.0,0.1557,-0.1557,0.0,0.1557,0.1557
2025-12-22T03:40:00Z,4390.065,0.5,4383.0,0.3746,0.3746,0.3746,0.0,0.3746,4399.0,0.1561,-0.1561,0.0,0.1561,0.1561
2025-12-22T04:00:00Z,4392.66,0.5,4385.0,0.2497,0.2497,0.2497,0.0,0.2497,4399.0,0.1561,-0.1561,0.0,0.1561,0.1561
2025-12-22T04:20:00Z,4395.315,0.5,4389.5,0.467,0.467,0.467,0.0,0.467,4399.0,0.1557,-0.1557,0.0,0.1557,0.1557
2025-12-22T04:40:00Z,4396.135,0.5,4389.5,0.4689,0.4689,0.4689,0.0,0.4689,4399.0,0.1563,-0.1563,0.0,0.1563,0.1563
2025-12-22T05:00:00Z,4398.525,0.5,4389.5,0.4785,0.4785,0.4785,0.0,0.4785,4411.5,0.1276,-0.1276,0.0,0.1276,0.1276
2025-12-22T05:20:00Z,4400.055,0.5,4389.5,0.4779,0.4779,0.4779,0.0,0.4779,4411.5,0.1274,-0.1274,0.0,0.1274,0.1274
2025-12-22T05:40:00Z,4404.52,0.5,4389.5,0.4797,0.4797,0.4797,0.0,0.4797,4411.5,0.1279,-0.1279,0.0,0.1279,0.1279
2025-12-22T06:00:00Z,4400.21,0.5,4389.5,0.478,0.478,0.478,0.0,0.478,4411.5,0.1275,-0.1275,0.0,0.1275,0.1275
2025-12-22T06:20:00Z,4403.705,0.5,4389.5,0.4748,0.4748,0.4748,0.0,0.4748,4411.5,0.1266,-0.1266,0.0,0.1266,0.1266
2025-12-22T06:40:00Z,4405.3,0.5,4389.5,0.4727,0.4727,0.4727,0.0,0.4727,4411.5,0.1261,-0.1261,0.0,0.1261,0.1261
2025-12-22T07:00:00Z,4419.47,0.5,,,,,,,4395.0,0.129,-0.129,0.0,0.129,0.129
2025-12-22T07:20:00Z,4411.935,0.5,4389.5,0.4806,0.4806,0.4806,0.0,0.4806,4422.5,0.1282,-0.1282,0.0,0.1282,0.1282
2025-12-22T07:40:00Z,4414.97,0.5,4419.5,0.1271,0.1271,0.1271,0.0,0.1271,4422.5,0.1271,-0.1271,0.0,0.1271,0.1271
2025-12-22T08:00:00Z,4414.395,0.5,4389.5,0.4748,0.4748,0.4748,0.0,0.4748,4422.5,0.1266,-0.1266,0.0,0.1266,0.1266
2025-12-22T08:20:00Z,4410.675,0.5,4389.5,0.4736,0.4736,0.4736,0.0,0.4736,4426.0,0.0947,-0.0947,0.0,0.0947,0.0947
2025-12-22T08:40:00Z,4407.71,0.5,4389.5,0.4735,0.4735,0.4735,0.0,0.4735,4401.0,0.0947,-0.0947,0.0,0.0947,0.0947
2025-12-22T09:00:00Z,4408.28,0.5,4389.5,0.4693,0.4693,0.4693,0.0,0.4693,4401.0,0.1564,-0.1564,0.0,0.1564,0.1564
2025-12-22T09:20:00Z,4412.375,0.5,4389.5,0.4695,0.4695,0.4695,0.0,0.4695,4420.0,0.1252,-0.1252,0.0,0.1252,0.1252
2025-12-22T09:40:00Z,4412.445,0.5,4389.5,0.4682,0.4682,0.4682,0.0,0.4682,4402.5,0.1248,-0.1248,0.0,0.1248,0.1248
2025-12-22T10:00:00Z,4411.2,0.5,4389.5,0.4664,0.4664,0.4664,0.0,0.4664,4402.0,0.1866,-0.1866,0.0,0.1866,0.1866
2025-12-22T10:20:00Z,4414.26,0.5,4389.5,0.4634,0.4634,0.4634,0.0,0.4634,4402.0,0.1854,-0.1854,0.0,0.1854,0.1854
2025-12-22T10:40:00Z,4410.255,0.5,4389.5,0.4655,0.4655,0.4655,0.0,0.4655,4402.0,0.1862,-0.1862,0.0,0.1862,0.1862
2025-12-22T11:00:00Z,4408.79,0.5,4389.5,0.4625,0.4625,0.4625,0.0,0.4625,4402.0,0.185,-0.185,0.0,0.185,0.185
2025-12-22T11:20:00Z,4409.57,0.5,4389.5,0.4605,0.4605,0.4605,0.0,0.4605,4402.0,0.2149,-0.2149,0.0,0.2149,0.2149
2025-12-22T11:40:00Z,4411.445,0.5,4389.5,0.42879999999999996,0.42879999999999996,0.4594,0.0306,0.49,4402.0,0.245,-0.245,0.0,0.245,0.245
2025-12-22T12:00:00Z,4410.42,0.5,4389.5,0.4274,0.4274,0.4579,0.0305,0.48839999999999995,4402.0,0.2442,-0.2442,0.0,0.2442,0.2442
2025-12-22T12:20:00Z,4410.14,0.5,4389.5,0.429,0.429,0.4596,0.0306,0.4902,4402.0,0.2145,-0.2145,0.0,0.2145,0.2145
2025-12-22T12:40:00Z,4409.555,0.5,4389.5,0.42700000000000005,0.42700000000000005,0.4575,0.0305,0.488,4402.0,0.2135,-0.2135,0.0,0.2135,0.2135
2025-12-22T13:00:00Z,4415.81,0.5,4416.5,0.0915,0.0915,0.0915,0.0,0.0915,4402.0,0.2134,-0.2134,0.0,0.2134,0.2134
2025-12-22T13:20:00Z,4423.33,0.5,4440.0,0.0942,0.0942,0.0942,0.0,0.0942,4402.5,0.1256,-0.1256,0.0,0.1256,0.1256
2025-12-22T13:40:00Z,4422.465,0.5,,,,,,,4398.0,0.1257,-0.1257,0.0,0.1257,0.1257
2025-12-22T14:00:00Z,4423.865,0.5,4425.0,0.0942,0.0942,0.0942,0.0,0.0942,4430.0,0.1255,-0.1255,0.0314,0.1569,0.18830000000000002
2025-12-22T14:20:00Z,4427.71,0.5,,,,,,,4430.0,0.1562,-0.1562,0.0312,0.1874,0.21860000000000002
2025-12-22T14:40:00Z,4417.14,0.5,,,,,,,4402.5,0.1254,-0.1254,0.0,0.1254,0.1254
2025-12-22T15:00:00Z,4419.445,0.5,4440.0,0.06280000000000001,0.06280000000000001,0.0942,0.0314,0.1256,4402.5,0.1256,-0.1256,0.0,0.1256,0.1256
2025-12-22T15:20:00Z,4416.915,0.5,4440.0,0.094,0.094,0.1253,0.0313,0.1566,4402.5,0.1253,-0.1253,0.0,0.1253,0.1253
2025-12-22T15:40:00Z,4425.51,0.5,4440.0,0.0627,0.0627,0.094,0.0313,0.1253,4436.0,0.1253,-0.1253,0.0,0.1253,0.1253
2025-12-22T16:00:00Z,4431.835,0.5,4440.0,0.1573,0.1573,0.2202,0.0629,0.2831,4450.0,0.1573,-0.1573,0.0,0.1573,0.1573
2025-12-22T16:20:00Z,4439.5,0.5,,,,,,,4450.0,0.09440000000000001,-0.09440000000000001,0.063,0.1574,0.2204
2025-12-22T16:40:00Z,4436.905,0.5,,,,,,,4450.0,0.12530000000000002,-0.12530000000000002,0.0626,0.1879,0.2505
2025-12-22T17:00:00Z,4438.72,0.5,,,,,,,4450.0,0.1253,-0.1253,0.0627,0.188,0.25070000000000003
2025-12-22T17:20:00Z,4437.865,0.5,,,,,,,4446.0,0.125,-0.125,0.0,0.125,0.125
2025-12-22T17:40:00Z,4436.955,0.5,,,,,,,4446.0,0.1254,-0.1254,0.0,0.1254,0.1254
2025-12-22T18:00:00Z,4438.51,0.5,,,,,,,4446.0,0.125,-0.125,0.0,0.125,0.125
2025-12-22T18:20:00Z,4437.465,0.5,,,,,,,4446.0,0.1246,-0.1246,0.0,0.1246,0.1246
2025-12-22T18:40:00Z,4434.735,0.5,4420.0,0.062099999999999995,0.062099999999999995,0.1243,0.0622,0.1865,4446.0,0.1243,-0.1243,0.0,0.1243,0.1243
2025-12-22T19:00:00Z,4435.465,0.5,4434.0,0.1241,0.1241,0.1241,0.0,0.1241,4445.5,0.1241,-0.1241,0.0,0.1241,0.1241
2025-12-22T19:20:00Z,4429.96,0.5,4420.0,0.0623,0.0623,0.1245,0.0622,0.1867,4446.0,0.1245,-0.1245,0.0,0.1245,0.1245
2025-12-22T19:40:00Z,4432.085,0.5,4420.0,0.0621,0.0621,0.1242,0.0621,0.18630000000000002,4413.0,0.1242,-0.1242,0.031,0.1552,0.1862
2025-12-22T20:00:00Z,4433.69,0.5,4420.0,0.062,0.062,0.1239,0.0619,0.1858,4446.0,0.1239,-0.1239,0.0,0.1239,0.1239
2025-12-22T20:20:00Z,4434.115,0.5,4444.5,0.0621,0.0621,0.0931,0.031,0.1241,4446.0,0.1241,-0.1241,0.0,0.1241,0.1241
2025-12-22T20:40:00Z,4435.075,0.5,4444.5,0.0621,0.0621,0.0932,0.0311,0.12430000000000001,4446.0,0.1243,-0.1243,0.0,0.1243,0.1243
2025-12-22T21:00:00Z,4438.715,0.5,4444.5,0.0621,0.0621,0.0932,0.0311,0.12430000000000001,4446.0,0.1243,-0.1243,0.0,0.1243,0.1243
