time,ref_price,bucket_width,buy_wall_price,buy_strength,buy_imbalance,buy_long,buy_short,buy_total,sell_wall_price,sell_strength,sell_imbalance,sell_long,sell_short,sell_total
2025-12-23T00:00:00Z,4460.145,0.5,4463.0,0.0944,0.0944,0.0944,0.0,0.0944,4466.0,0.0944,-0.0944,0.0,0.0944,0.0944
2025-12-23T00:20:00Z,4468.56,0.5,,,,,,,4470.0,0.1259,-0.1259,0.0,0.1259,0.1259
2025-12-23T00:40:00Z,4467.885,0.5,4473.5,0.0939,0.0939,0.0939,0.0,0.0939,4454.5,0.0939,-0.0939,0.0,0.0939,0.0939
2025-12-23T01:00:00Z,4470.6,0.5,,,,,,,4454.5,0.0949,-0.0949,0.0,0.0949,0.0949
2025-12-23T01:20:00Z,4480.45,0.5,,,,,,,4500.0,0.3197,-0.3197,0.032,0.3517,0.38370000000000004
2025-12-23T01:40:00Z,4484.98,0.5,,,,,,,4500.0,0.3191,-0.3191,0.0319,0.351,0.38289999999999996
2025-12-23T02:00:00Z,4486.675,0.5,,,,,,,4500.0,0.28919999999999996,-0.28919999999999996,0.0321,0.3213,0.3534
2025-12-23T02:20:00Z,4488.655,0.5,4493.0,0.0641,0.0641,0.0961,0.032,0.1281,4500.0,0.25639999999999996,-0.25639999999999996,0.032,0.2884,0.3204
2025-12-23T02:40:00Z,4492.935,0.5,4492.5,0.1278,0.1278,0.1278,0.0,0.1278,4500.0,0.28759999999999997,-0.28759999999999997,0.032,0.3196,0.3516
2025-12-23T03:00:00Z,4493.48,0.5,,,,,,,4500.0,0.32089999999999996,-0.32089999999999996,0.0321,0.353,0.3851
2025-12-23T03:20:00Z,4483.63,0.5,4497.5,0.0962,0.0962,0.0962,0.0,0.0962,4500.0,0.3528,-0.3528,0.0641,0.4169,0.481
2025-12-23T03:40:00Z,4487.425,0.5,4497.5,0.0955,0.0955,0.0955,0.0,0.0955,4500.0,0.41390000000000005,-0.41390000000000005,0.0637,0.4776,0.5413
2025-12-23T04:00:00Z,4486.725,0.5,4497.5,0.0953,0.0953,0.0953,0.0,0.0953,4500.0,0.5401,-0.5401,0.0635,0.6036,0.6671
2025-12-23T04:20:00Z,4486.95,0.5,4497.5,0.0952,0.0952,0.0952,0.0,0.0952,4500.0,0.5077,-0.5077,0.0635,0.5712,0.6347
2025-12-23T04:40:00Z,4485.72,0.5,4497.5,0.095,0.095,0.095,0.0,0.095,4500.0,0.475,-0.475,0.0633,0.5383,0.6016
2025-12-23T05:00:00Z,4482.585,0.5,4490.0,0.0958,0.0958,0.0958,0.0,0.0958,4500.0,0.4153,-0.4153,0.0639,0.4792,0.5431
2025-12-23T05:20:00Z,4477.6,0.5,,,,,,,4500.0,0.41300000000000003,-0.41300000000000003,0.0636,0.4766,0.5402
2025-12-23T05:40:00Z,4484.185,0.5,,,,,,,4500.0,0.319,-0.319,0.1276,0.4466,0.5742
2025-12-23T06:00:00Z,4475.335,0.5,,,,,,,4500.0,0.3507,-0.3507,0.0957,0.4464,0.5421
2025-12-23T06:20:00Z,4474.39,0.5,,,,,,,4454.0,0.0959,-0.0959,0.0,0.0959,0.0959
2025-12-23T06:40:00Z,4477.015,0.5,,,,,,,4500.0,0.4142,-0.4142,0.0637,0.4779,0.5416
2025-12-23T07:00:00Z,4481.62,0.5,,,,,,,4500.0,0.47640000000000005,-0.47640000000000005,0.0635,0.5399,0.6034
2025-12-23T07:20:00Z,4485.09,0.5,,,,,,,4500.0,0.4733,-0.4733,0.0631,0.5364,0.5995
2025-12-23T07:40:00Z,4486.565,0.5,4507.5,0.0947,0.0947,0.0947,0.0,0.0947,4500.0,0.4735,-0.4735,0.0631,0.5366,0.5997
2025-12-23T08:00:00Z,4486.785,0.5,4491.0,0.0945,0.0945,0.0945,0.0,0.0945,4500.0,0.4409,-0.4409,0.063,0.5039,0.5669
2025-12-23T08:20:00Z,4486.515,0.5,4491.0,0.0943,0.0943,0.0943,0.0,0.0943,4500.0,0.47130000000000005,-0.47130000000000005,0.0628,0.5341,0.5969
2025-12-23T08:40:00Z,4490.72,0.5,,,,,,,4500.0,0.4708,-0.4708,0.0628,0.5336,0.5963999999999999
2025-12-23T09:00:00Z,4490.055,0.5,,,,,,,4500.0,0.5323,-0.5323,0.0626,0.5949,0.6575
2025-12-23T09:20:00Z,4483.015,0.5,,,,,,,4500.0,0.4402,-0.4402,0.0629,0.5031,0.566
2025-12-23T09:40:00Z,4482.17,0.5,,,,,,,4500.0,0.4385,-0.4385,0.0626,0.5011,0.5637
2025-12-23T10:00:00Z,4480.5,0.5,,,,,,,4500.0,0.4343,-0.4343,0.062,0.4963,0.5583
2025-12-23T10:20:00Z,4484.975,0.5,,,,,,,4500.0,0.466,-0.466,0.0621,0.5281,0.5902000000000001
2025-12-23T10:40:00Z,4483.34,0.5,4471.5,0.06219999999999999,0.06219999999999999,0.0933,0.0311,0.1244,4500.0,0.4975,-0.4975,0.0622,0.5597,0.6219
2025-12-23T11:00:00Z,4484.4,0.5,4471.5,0.062,0.062,0.093,0.031,0.124,4500.0,0.49579999999999996,-0.49579999999999996,0.062,0.5578,0.6197999999999999
2025-12-23T11:20:00Z,4485.025,0.5,,,,,,,4500.0,0.4638999999999999,-0.4638999999999999,0.0618,0.5257,0.5874999999999999
2025-12-23T11:40:00Z,4486.635,0.5,,,,,,,4500.0,0.4634,-0.4634,0.0618,0.5252,0.587
2025-12-23T12:00:00Z,4493.655,0.5,4515.5,0.06219999999999999,0.06219999999999999,0.1556,0.0934,0.249,4500.0,0.49800000000000005,-0.49800000000000005,0.0622,0.5602,0.6224000000000001
2025-12-23T12:20:00Z,4484.315,0.5,,,,,,,4500.0,0.434,-0.434,0.062,0.496,0.558
2025-12-23T12:40:00Z,4486.96,0.5,,,,,,,4500.0,0.4326,-0.4326,0.0618,0.4944,0.5562
2025-12-23T13:00:00Z,4486.4,0.5,,,,,,,4500.0,0.4312,-0.4312,0.0616,0.4928,0.5544
2025-12-23T13:20:00Z,4495.58,0.5,4475.0,0.1246,0.1246,0.1246,0.0,0.1246,4500.0,0.4675,-0.4675,0.0623,0.5298,0.5921000000000001
2025-12-23T13:40:00Z,4487.955,0.5,4475.0,0.1246,0.1246,0.1246,0.0,0.1246,4500.0,0.43629999999999997,-0.43629999999999997,0.0623,0.4986,0.5609
2025-12-23T14:00:00Z,4479.36,0.5,4492.5,0.0947,0.0947,0.0947,0.0,0.0947,4500.0,0.442,-0.442,0.0631,0.5051,0.5682
2025-12-23T14:20:00Z,4468.48,0.5,4492.5,0.1281,0.1281,0.1281,0.0,0.1281,4445.5,0.0961,-0.0961,0.0,0.0961,0.0961
2025-12-23T14:40:00Z,4460.98,0.5,,,,,,,4445.5,0.0962,-0.0962,0.0,0.0962,0.0962
2025-12-23T15:00:00Z,4446.745,0.5,,,,,,,4434.5,0.1287,-0.1287,0.0,0.1287,0.1287
2025-12-23T15:20:00Z,4448.795,0.5,,,,,,,4436.5,0.0967,-0.0967,0.0,0.0967,0.0967
2025-12-23T15:40:00Z,4454.355,0.5,,,,,,,4436.5,0.0967,-0.0967,0.0,0.0967,0.0967
