time,ref_price,bucket_width,buy_wall_price,buy_strength,buy_imbalance,buy_long,buy_short,buy_total,sell_wall_price,sell_strength,sell_imbalance,sell_long,sell_short,sell_total
2026-01-29T16:20:00Z,5264.575,0.5,,,,,,,5271.0,0.1299,0.1299,0.1299,0.0,0.1299
2026-01-29T16:40:00Z,5248.42,0.5,,,,,,,5262.0,0.1297,0.1297,0.1297,0.0,0.1297
2026-01-29T17:00:00Z,5264.53,0.5,,,,,,,,,,,,
2026-01-29T17:20:00Z,5337.595,0.5,,,,,,,5340.0,0.1291,0.1291,0.1291,0.0,0.1291
2026-01-29T17:40:00Z,5363.85,0.5,,,,,,,5369.5,0.1271,0.1271,0.1271,0.0,0.1271
2026-01-29T18:00:00Z,5335.37,0.5,,,,,,,5337.0,0.0964,0.0964,0.0964,0.0,0.0964
